,Company,Model,Body Type,Trim Level,Engine Name,Engine Fuel Type,Engine Transmission,Engine Power,Engine Efficiency,Engine Emission,Price
42,Aston Martin,DBS,2 door Coupe,Standard,V12 Touchtronic Auto,Petrol,Automatic,715 bhp,20.9 mpg,,259300
43,Aston Martin,DBS,2 door Convertible,Volante,V12 Touchtronic Auto,Petrol,Automatic,715 bhp,21 mpg,,279800
44,Audi,A1,5 door Hatchback,Technik,25 TFSI,Petrol,Manual,95 bhp,51.4 mpg,107 g/km,20655
45,Audi,A1,5 door Hatchback,Technik,30 TFSI 110,Petrol,Manual,110 bhp,53.3 mpg,109 g/km,21390
46,Audi,A1,5 door Hatchback,Technik,30 TFSI 110 S Tronic,Petrol,Automatic,110 bhp,49.6 mpg,111 g/km,22930
47,Audi,A1,5 door Hatchback,Sport,25 TFSI,Petrol,Manual,95 bhp,50.4 mpg,107 g/km,22105
48,Audi,A1,5 door Hatchback,Sport,25 TFSI Tech Pack,Petrol,Manual,95 bhp,50.4 mpg,107 g/km,23650
49,Audi,A1,5 door Hatchback,Sport,25 TFSI S Tronic,Petrol,Automatic,95 bhp,47.9 mpg,111 g/km,23685
50,Audi,A1,5 door Hatchback,Sport,25 TFSI S Tronic Tech Pack,Petrol,Automatic,95 bhp,47.9 mpg,111 g/km,25230
51,Audi,A1,5 door Hatchback,Sport,30 TFSI 110,Petrol,Manual,110 bhp,52.3 mpg,111 g/km,22840
52,Audi,A1,5 door Hatchback,Sport,30 TFSI 110 Tech Pack,Petrol,Manual,110 bhp,52.3 mpg,111 g/km,24385
53,Audi,A1,5 door Hatchback,Sport,30 TFSI 110 S Tronic,Petrol,Automatic,110 bhp,48.7 mpg,112 g/km,24420
54,Audi,A1,5 door Hatchback,Sport,30 TFSI 110 S Tronic Tech Pack,Petrol,Automatic,110 bhp,48.7 mpg,112 g/km,25965
55,Audi,A1,5 door Hatchback,S Line,25 TFSI,Petrol,Manual,95 bhp,49.6 mpg,107 g/km,23755
56,Audi,A1,5 door Hatchback,S Line,25 TFSI Tech Pack,Petrol,Manual,95 bhp,49.6 mpg,107 g/km,25300
57,Audi,A1,5 door Hatchback,S Line,25 TFSI S Tronic,Petrol,Automatic,95 bhp,47.1 mpg,111 g/km,25335
58,Audi,A1,5 door Hatchback,S Line,25 TFSI S Tronic Tech Pack,Petrol,Automatic,95 bhp,47.1 mpg,111 g/km,26880
59,Audi,A1,5 door Hatchback,S Line,30 TFSI 110,Petrol,Manual,110 bhp,50.4 mpg,111 g/km,24490
60,Audi,A1,5 door Hatchback,S Line,30 TFSI 110 Tech Pack,Petrol,Manual,110 bhp,50.4 mpg,111 g/km,26035
61,Audi,A1,5 door Hatchback,S Line,30 TFSI 110 S Tronic,Petrol,Automatic,110 bhp,47.9 mpg,112 g/km,26070
62,Audi,A1,5 door Hatchback,S Line,30 TFSI 110 S Tronic Tech Pack,Petrol,Automatic,110 bhp,47.9 mpg,112 g/km,27615
63,Audi,A1,5 door Hatchback,S Line,35 TFSI S Tronic,Petrol,Automatic,150 bhp,47.9 mpg,117 g/km,27095
64,Audi,A1,5 door Hatchback,S Line,35 TFSI S Tronic Tech Pack,Petrol,Automatic,150 bhp,47.9 mpg,117 g/km,28640
65,Audi,A1,5 door Hatchback,Black Edition,25 TFSI,Petrol,Manual,95 bhp,47.9 mpg,107 g/km,25590
66,Audi,A1,5 door Hatchback,Black Edition,25 TFSI Tech Pack,Petrol,Manual,95 bhp,47.9 mpg,107 g/km,27135
67,Audi,A1,5 door Hatchback,Black Edition,25 TFSI S Tronic,Petrol,Automatic,95 bhp,45.6 mpg,111 g/km,27130
68,Audi,A1,5 door Hatchback,Black Edition,25 TFSI S Tronic Tech Pack,Petrol,Automatic,95 bhp,45.6 mpg,111 g/km,28675
69,Audi,A1,5 door Hatchback,Black Edition,30 TFSI 110,Petrol,Manual,110 bhp,49.6 mpg,111 g/km,26285
